Query_Text,Budget_Value,Target_Label
What is the title of Reza Ghaeini et al.'s work presented in LREC?,0.6,Single_Hop_BM25
What is the title of Reza Ghaeini et al.'s work presented in LREC?,0.7,Single_Hop_BM25
What is the title of Reza Ghaeini et al.'s work presented in LREC?,0.8,Single_Hop_BM25
What is the title of Reza Ghaeini et al.'s work presented in LREC?,0.9,Single_Hop_BM25
What is the title of Reza Ghaeini et al.'s work presented in LREC?,1.0,Single_Hop_BM25
What are the two aspects mentioned in the text?,0.1,Direct_LLM
What are the two aspects mentioned in the text?,0.2,Direct_LLM
What are the two aspects mentioned in the text?,0.3,Single_Hop_BM25
What are the two aspects mentioned in the text?,0.4,Single_Hop_BM25
What are the two aspects mentioned in the text?,0.5,Single_Hop_BM25
What are the two aspects mentioned in the text?,0.6,Single_Hop_BM25
What are the two aspects mentioned in the text?,0.7,Single_Hop_BM25
What are the two aspects mentioned in the text?,0.8,Single_Hop_BM25
What are the two aspects mentioned in the text?,0.9,Single_Hop_BM25
What are the two aspects mentioned in the text?,1.0,Single_Hop_BM25
What is the title of Diederik Kingma's work presented in Dublin City University?,0.1,Direct_LLM
What is the title of Diederik Kingma's work presented in Dublin City University?,0.2,Direct_LLM
What is the title of Diederik Kingma's work presented in Dublin City University?,0.3,Single_Hop_BM25
What is the title of Diederik Kingma's work presented in Dublin City University?,0.4,Single_Hop_BM25
What is the title of Diederik Kingma's work presented in Dublin City University?,0.5,Single_Hop_BM25
What is the title of Diederik Kingma's work presented in Dublin City University?,0.6,Single_Hop_BM25
What is the title of Diederik Kingma's work presented in Dublin City University?,0.7,Single_Hop_BM25
What is the title of Diederik Kingma's work presented in Dublin City University?,0.8,Single_Hop_BM25
What is the title of Diederik Kingma's work presented in Dublin City University?,0.9,Single_Hop_BM25
What is the title of Diederik Kingma's work presented in Dublin City University?,1.0,Single_Hop_BM25
What are the types of annotations provided in InScript corpus?,0.1,Direct_LLM
What are the types of annotations provided in InScript corpus?,0.2,Direct_LLM
What are the types of annotations provided in InScript corpus?,0.3,Single_Hop_BM25
What are the types of annotations provided in InScript corpus?,0.4,Single_Hop_BM25
What are the types of annotations provided in InScript corpus?,0.5,Single_Hop_BM25
What are the types of annotations provided in InScript corpus?,0.6,Single_Hop_BM25
What are the types of annotations provided in InScript corpus?,0.7,Single_Hop_BM25
What are the types of annotations provided in InScript corpus?,0.8,Single_Hop_BM25
What are the types of annotations provided in InScript corpus?,0.9,Single_Hop_BM25
What are the types of annotations provided in InScript corpus?,1.0,Single_Hop_BM25
What are Alon Jacovi Bar Ilan University's affiliations?,0.1,Direct_LLM
What are Alon Jacovi Bar Ilan University's affiliations?,0.2,Direct_LLM
What are Alon Jacovi Bar Ilan University's affiliations?,0.3,Single_Hop_BM25
What are Alon Jacovi Bar Ilan University's affiliations?,0.4,Single_Hop_BM25
What are Alon Jacovi Bar Ilan University's affiliations?,0.5,Single_Hop_BM25
What are Alon Jacovi Bar Ilan University's affiliations?,0.6,Single_Hop_BM25
What are Alon Jacovi Bar Ilan University's affiliations?,0.7,Single_Hop_BM25
What are Alon Jacovi Bar Ilan University's affiliations?,0.8,Single_Hop_BM25
What are Alon Jacovi Bar Ilan University's affiliations?,0.9,Single_Hop_BM25
What are Alon Jacovi Bar Ilan University's affiliations?,1.0,Single_Hop_BM25
What is unique about how Intra-MHA and Inter-MHA are used in the model for context words?,0.1,Direct_LLM
What is unique about how Intra-MHA and Inter-MHA are used in the model for context words?,0.2,Direct_LLM
What is unique about how Intra-MHA and Inter-MHA are used in the model for context words?,0.3,Single_Hop_BM25
What is unique about how Intra-MHA and Inter-MHA are used in the model for context words?,0.4,Single_Hop_BM25
What is unique about how Intra-MHA and Inter-MHA are used in the model for context words?,0.5,Single_Hop_BM25
What is unique about how Intra-MHA and Inter-MHA are used in the model for context words?,0.6,Single_Hop_BM25
What is unique about how Intra-MHA and Inter-MHA are used in the model for context words?,0.7,Single_Hop_BM25
What is unique about how Intra-MHA and Inter-MHA are used in the model for context words?,0.8,Single_Hop_BM25
What is unique about how Intra-MHA and Inter-MHA are used in the model for context words?,0.9,Single_Hop_BM25
What is unique about how Intra-MHA and Inter-MHA are used in the model for context words?,1.0,Single_Hop_BM25
What are typical QA pipelines consisting of according to Chen et al. (2017)?,0.1,Direct_LLM
What are typical QA pipelines consisting of according to Chen et al. (2017)?,0.2,Direct_LLM
What are typical QA pipelines consisting of according to Chen et al. (2017)?,0.3,Single_Hop_BM25
What are typical QA pipelines consisting of according to Chen et al. (2017)?,0.4,Single_Hop_BM25
What are typical QA pipelines consisting of according to Chen et al. (2017)?,0.5,Single_Hop_BM25
What are typical QA pipelines consisting of according to Chen et al. (2017)?,0.6,Single_Hop_BM25
What are typical QA pipelines consisting of according to Chen et al. (2017)?,0.7,Single_Hop_BM25
What are typical QA pipelines consisting of according to Chen et al. (2017)?,0.8,Single_Hop_BM25
What are typical QA pipelines consisting of according to Chen et al. (2017)?,0.9,Single_Hop_BM25
What are typical QA pipelines consisting of according to Chen et al. (2017)?,1.0,Single_Hop_BM25
What tokens in a source text pass into an encoder cell?,0.1,Direct_LLM
What tokens in a source text pass into an encoder cell?,0.2,Direct_LLM
What tokens in a source text pass into an encoder cell?,0.3,Single_Hop_BM25
What tokens in a source text pass into an encoder cell?,0.4,Single_Hop_BM25
What tokens in a source text pass into an encoder cell?,0.5,Single_Hop_BM25
What tokens in a source text pass into an encoder cell?,0.6,Single_Hop_BM25
What tokens in a source text pass into an encoder cell?,0.7,Single_Hop_BM25
What tokens in a source text pass into an encoder cell?,0.8,Single_Hop_BM25
What tokens in a source text pass into an encoder cell?,0.9,Single_Hop_BM25
What tokens in a source text pass into an encoder cell?,1.0,Single_Hop_BM25
What is the main subject of concern in Australia according to this text?,0.1,Direct_LLM
What is the main subject of concern in Australia according to this text?,0.2,Direct_LLM
What is the main subject of concern in Australia according to this text?,0.3,Single_Hop_BM25
What is the main subject of concern in Australia according to this text?,0.4,Single_Hop_BM25
What is the main subject of concern in Australia according to this text?,0.5,Single_Hop_BM25
What is the main subject of concern in Australia according to this text?,0.6,Single_Hop_BM25
What is the main subject of concern in Australia according to this text?,0.7,Single_Hop_BM25
What is the main subject of concern in Australia according to this text?,0.8,Single_Hop_BM25
What is the main subject of concern in Australia according to this text?,0.9,Single_Hop_BM25
What is the main subject of concern in Australia according to this text?,1.0,Single_Hop_BM25
At what threshold of cosine similarity are the results for |V| = 32768 considered to be far superior and with much larger coverage?,0.1,Direct_LLM
At what threshold of cosine similarity are the results for |V| = 32768 considered to be far superior and with much larger coverage?,0.2,Direct_LLM
At what threshold of cosine similarity are the results for |V| = 32768 considered to be far superior and with much larger coverage?,0.3,Single_Hop_BM25
At what threshold of cosine similarity are the results for |V| = 32768 considered to be far superior and with much larger coverage?,0.4,Single_Hop_BM25
At what threshold of cosine similarity are the results for |V| = 32768 considered to be far superior and with much larger coverage?,0.5,Single_Hop_BM25
At what threshold of cosine similarity are the results for |V| = 32768 considered to be far superior and with much larger coverage?,0.6,Single_Hop_BM25
At what threshold of cosine similarity are the results for |V| = 32768 considered to be far superior and with much larger coverage?,0.7,Single_Hop_BM25
At what threshold of cosine similarity are the results for |V| = 32768 considered to be far superior and with much larger coverage?,0.8,Single_Hop_BM25
At what threshold of cosine similarity are the results for |V| = 32768 considered to be far superior and with much larger coverage?,0.9,Single_Hop_BM25
At what threshold of cosine similarity are the results for |V| = 32768 considered to be far superior and with much larger coverage?,1.0,Single_Hop_BM25
What specific face areas are analyzed by Ihme et al. (2018) to recognize different emotions?,0.1,Direct_LLM
What specific face areas are analyzed by Ihme et al. (2018) to recognize different emotions?,0.2,Direct_LLM
What specific face areas are analyzed by Ihme et al. (2018) to recognize different emotions?,0.3,Single_Hop_BM25
What specific face areas are analyzed by Ihme et al. (2018) to recognize different emotions?,0.4,Single_Hop_BM25
What specific face areas are analyzed by Ihme et al. (2018) to recognize different emotions?,0.5,Single_Hop_BM25
What specific face areas are analyzed by Ihme et al. (2018) to recognize different emotions?,0.6,Single_Hop_BM25
What specific face areas are analyzed by Ihme et al. (2018) to recognize different emotions?,0.7,Single_Hop_BM25
What specific face areas are analyzed by Ihme et al. (2018) to recognize different emotions?,0.8,Single_Hop_BM25
What specific face areas are analyzed by Ihme et al. (2018) to recognize different emotions?,0.9,Single_Hop_BM25
What specific face areas are analyzed by Ihme et al. (2018) to recognize different emotions?,1.0,Single_Hop_BM25
What does the probabilistic interpretation in [1] focus on regarding document classes?,0.1,Direct_LLM
What does the probabilistic interpretation in [1] focus on regarding document classes?,0.2,Direct_LLM
What does the probabilistic interpretation in [1] focus on regarding document classes?,0.3,Single_Hop_BM25
What does the probabilistic interpretation in [1] focus on regarding document classes?,0.4,Single_Hop_BM25
What does the probabilistic interpretation in [1] focus on regarding document classes?,0.5,Single_Hop_BM25
What does the probabilistic interpretation in [1] focus on regarding document classes?,0.6,Single_Hop_BM25
What does the probabilistic interpretation in [1] focus on regarding document classes?,0.7,Single_Hop_BM25
What does the probabilistic interpretation in [1] focus on regarding document classes?,0.8,Single_Hop_BM25
What does the probabilistic interpretation in [1] focus on regarding document classes?,0.9,Single_Hop_BM25
What does the probabilistic interpretation in [1] focus on regarding document classes?,1.0,Single_Hop_BM25
What does Corollary 1.1 state regarding interpretation systems and model predictions?,0.1,Direct_LLM
What does Corollary 1.1 state regarding interpretation systems and model predictions?,0.2,Direct_LLM
What does Corollary 1.1 state regarding interpretation systems and model predictions?,0.3,Single_Hop_BM25
What does Corollary 1.1 state regarding interpretation systems and model predictions?,0.4,Single_Hop_BM25
What does Corollary 1.1 state regarding interpretation systems and model predictions?,0.5,Single_Hop_BM25
What does Corollary 1.1 state regarding interpretation systems and model predictions?,0.6,Single_Hop_BM25
What does Corollary 1.1 state regarding interpretation systems and model predictions?,0.7,Single_Hop_BM25
What does Corollary 1.1 state regarding interpretation systems and model predictions?,0.8,Single_Hop_BM25
What does Corollary 1.1 state regarding interpretation systems and model predictions?,0.9,Single_Hop_BM25
What does Corollary 1.1 state regarding interpretation systems and model predictions?,1.0,Single_Hop_BM25
How many average participants per story were annotated in this dataset?,0.1,Direct_LLM
How many average participants per story were annotated in this dataset?,0.2,Direct_LLM
How many average participants per story were annotated in this dataset?,0.3,Single_Hop_BM25
How many average participants per story were annotated in this dataset?,0.4,Single_Hop_BM25
How many average participants per story were annotated in this dataset?,0.5,Single_Hop_BM25
How many average participants per story were annotated in this dataset?,0.6,Single_Hop_BM25
How many average participants per story were annotated in this dataset?,0.7,Single_Hop_BM25
How many average participants per story were annotated in this dataset?,0.8,Single_Hop_BM25
How many average participants per story were annotated in this dataset?,0.9,Single_Hop_BM25
How many average participants per story were annotated in this dataset?,1.0,Single_Hop_BM25
What are the two types of SC-LSTM models mentioned in the text and what specific aspect did they focus on?,0.1,Direct_LLM
What are the two types of SC-LSTM models mentioned in the text and what specific aspect did they focus on?,0.2,Direct_LLM
What are the two types of SC-LSTM models mentioned in the text and what specific aspect did they focus on?,0.3,Single_Hop_BM25
What are the two types of SC-LSTM models mentioned in the text and what specific aspect did they focus on?,0.4,Single_Hop_BM25
What are the two types of SC-LSTM models mentioned in the text and what specific aspect did they focus on?,0.5,Single_Hop_BM25
What are the two types of SC-LSTM models mentioned in the text and what specific aspect did they focus on?,0.6,Single_Hop_BM25
What are the two types of SC-LSTM models mentioned in the text and what specific aspect did they focus on?,0.7,Single_Hop_BM25
What are the two types of SC-LSTM models mentioned in the text and what specific aspect did they focus on?,0.8,Single_Hop_BM25
What are the two types of SC-LSTM models mentioned in the text and what specific aspect did they focus on?,0.9,Single_Hop_BM25
What are the two types of SC-LSTM models mentioned in the text and what specific aspect did they focus on?,1.0,Single_Hop_BM25
What technique gives higher weight to words that appear frequently within a single document but infrequently across an entire corpus?,0.1,Direct_LLM
What technique gives higher weight to words that appear frequently within a single document but infrequently across an entire corpus?,0.2,Direct_LLM
What technique gives higher weight to words that appear frequently within a single document but infrequently across an entire corpus?,0.3,Single_Hop_BM25
What technique gives higher weight to words that appear frequently within a single document but infrequently across an entire corpus?,0.4,Single_Hop_BM25
What technique gives higher weight to words that appear frequently within a single document but infrequently across an entire corpus?,0.5,Single_Hop_BM25
What technique gives higher weight to words that appear frequently within a single document but infrequently across an entire corpus?,0.6,Single_Hop_BM25
What technique gives higher weight to words that appear frequently within a single document but infrequently across an entire corpus?,0.7,Single_Hop_BM25
What technique gives higher weight to words that appear frequently within a single document but infrequently across an entire corpus?,0.8,Single_Hop_BM25
What technique gives higher weight to words that appear frequently within a single document but infrequently across an entire corpus?,0.9,Single_Hop_BM25
What technique gives higher weight to words that appear frequently within a single document but infrequently across an entire corpus?,1.0,Single_Hop_BM25
What was the accuracy rate when communicating only one landmark observation for localization?,0.1,Direct_LLM
What was the accuracy rate when communicating only one landmark observation for localization?,0.2,Direct_LLM
What was the accuracy rate when communicating only one landmark observation for localization?,0.3,Single_Hop_BM25
What was the accuracy rate when communicating only one landmark observation for localization?,0.4,Single_Hop_BM25
What was the accuracy rate when communicating only one landmark observation for localization?,0.5,Single_Hop_BM25
What was the accuracy rate when communicating only one landmark observation for localization?,0.6,Single_Hop_BM25
What was the accuracy rate when communicating only one landmark observation for localization?,0.7,Single_Hop_BM25
What was the accuracy rate when communicating only one landmark observation for localization?,0.8,Single_Hop_BM25
What was the accuracy rate when communicating only one landmark observation for localization?,0.9,Single_Hop_BM25
What was the accuracy rate when communicating only one landmark observation for localization?,1.0,Single_Hop_BM25
On which datasets did the SkipVec encoders perform poorly due to many computer and medical terms?,0.1,Direct_LLM
On which datasets did the SkipVec encoders perform poorly due to many computer and medical terms?,0.2,Direct_LLM
On which datasets did the SkipVec encoders perform poorly due to many computer and medical terms?,0.3,Single_Hop_BM25
On which datasets did the SkipVec encoders perform poorly due to many computer and medical terms?,0.4,Single_Hop_BM25
On which datasets did the SkipVec encoders perform poorly due to many computer and medical terms?,0.5,Single_Hop_BM25
On which datasets did the SkipVec encoders perform poorly due to many computer and medical terms?,0.6,Single_Hop_BM25
On which datasets did the SkipVec encoders perform poorly due to many computer and medical terms?,0.7,Single_Hop_BM25
On which datasets did the SkipVec encoders perform poorly due to many computer and medical terms?,0.8,Single_Hop_BM25
On which datasets did the SkipVec encoders perform poorly due to many computer and medical terms?,0.9,Single_Hop_BM25
On which datasets did the SkipVec encoders perform poorly due to many computer and medical terms?,1.0,Single_Hop_BM25
What is the title of K. K. Paliwal's work from 1997?,0.1,Direct_LLM
What is the title of K. K. Paliwal's work from 1997?,0.2,Direct_LLM
What is the title of K. K. Paliwal's work from 1997?,0.3,Single_Hop_BM25
What is the title of K. K. Paliwal's work from 1997?,0.4,Single_Hop_BM25
What is the title of K. K. Paliwal's work from 1997?,0.5,Single_Hop_BM25
What is the title of K. K. Paliwal's work from 1997?,0.6,Single_Hop_BM25
What is the title of K. K. Paliwal's work from 1997?,0.7,Single_Hop_BM25
What is the title of K. K. Paliwal's work from 1997?,0.8,Single_Hop_BM25
What is the title of K. K. Paliwal's work from 1997?,0.9,Single_Hop_BM25
What is the title of K. K. Paliwal's work from 1997?,1.0,Single_Hop_BM25
What specific tasks did we evaluate CamemBERT for?,0.1,Direct_LLM
What specific tasks did we evaluate CamemBERT for?,0.2,Direct_LLM
What specific tasks did we evaluate CamemBERT for?,0.3,Single_Hop_BM25
What specific tasks did we evaluate CamemBERT for?,0.4,Single_Hop_BM25
What specific tasks did we evaluate CamemBERT for?,0.5,Single_Hop_BM25
What specific tasks did we evaluate CamemBERT for?,0.6,Single_Hop_BM25
What specific tasks did we evaluate CamemBERT for?,0.7,Single_Hop_BM25
What specific tasks did we evaluate CamemBERT for?,0.8,Single_Hop_BM25
What specific tasks did we evaluate CamemBERT for?,0.9,Single_Hop_BM25
What specific tasks did we evaluate CamemBERT for?,1.0,Single_Hop_BM25
What model does the candidate set reduction rely upon?,0.1,Direct_LLM
What model does the candidate set reduction rely upon?,0.2,Direct_LLM
What model does the candidate set reduction rely upon?,0.3,Single_Hop_BM25
What model does the candidate set reduction rely upon?,0.4,Single_Hop_BM25
What model does the candidate set reduction rely upon?,0.5,Single_Hop_BM25
What model does the candidate set reduction rely upon?,0.6,Single_Hop_BM25
What model does the candidate set reduction rely upon?,0.7,Single_Hop_BM25
What model does the candidate set reduction rely upon?,0.8,Single_Hop_BM25
What model does the candidate set reduction rely upon?,0.9,Single_Hop_BM25
What model does the candidate set reduction rely upon?,1.0,Single_Hop_BM25
What is the title of Plutchik's book on emotions published in 1991?,0.1,Direct_LLM
What is the title of Plutchik's book on emotions published in 1991?,0.2,Direct_LLM
What is the title of Plutchik's book on emotions published in 1991?,0.3,Single_Hop_BM25
What is the title of Plutchik's book on emotions published in 1991?,0.4,Single_Hop_BM25
What is the title of Plutchik's book on emotions published in 1991?,0.5,Single_Hop_BM25
What is the title of Plutchik's book on emotions published in 1991?,0.6,Single_Hop_BM25
What is the title of Plutchik's book on emotions published in 1991?,0.7,Single_Hop_BM25
What is the title of Plutchik's book on emotions published in 1991?,0.8,Single_Hop_BM25
What is the title of Plutchik's book on emotions published in 1991?,0.9,Single_Hop_BM25
What is the title of Plutchik's book on emotions published in 1991?,1.0,Single_Hop_BM25
How does diversity metric behave when there are more outliers or sub-clusters?,0.1,Direct_LLM
How does diversity metric behave when there are more outliers or sub-clusters?,0.2,Direct_LLM
How does diversity metric behave when there are more outliers or sub-clusters?,0.3,Single_Hop_BM25
How does diversity metric behave when there are more outliers or sub-clusters?,0.4,Single_Hop_BM25
How does diversity metric behave when there are more outliers or sub-clusters?,0.5,Single_Hop_BM25
How does diversity metric behave when there are more outliers or sub-clusters?,0.6,Single_Hop_BM25
How does diversity metric behave when there are more outliers or sub-clusters?,0.7,Single_Hop_BM25
How does diversity metric behave when there are more outliers or sub-clusters?,0.8,Single_Hop_BM25
How does diversity metric behave when there are more outliers or sub-clusters?,0.9,Single_Hop_BM25
How does diversity metric behave when there are more outliers or sub-clusters?,1.0,Single_Hop_BM25
How many languages are included in the dataset used for Spoken Language Identification using ConvNets?,0.1,Direct_LLM
How many languages are included in the dataset used for Spoken Language Identification using ConvNets?,0.2,Direct_LLM
How many languages are included in the dataset used for Spoken Language Identification using ConvNets?,0.3,Single_Hop_BM25
How many languages are included in the dataset used for Spoken Language Identification using ConvNets?,0.4,Single_Hop_BM25
How many languages are included in the dataset used for Spoken Language Identification using ConvNets?,0.5,Single_Hop_BM25
How many languages are included in the dataset used for Spoken Language Identification using ConvNets?,0.6,Single_Hop_BM25
How many languages are included in the dataset used for Spoken Language Identification using ConvNets?,0.7,Single_Hop_BM25
How many languages are included in the dataset used for Spoken Language Identification using ConvNets?,0.8,Single_Hop_BM25
How many languages are included in the dataset used for Spoken Language Identification using ConvNets?,0.9,Single_Hop_BM25
How many languages are included in the dataset used for Spoken Language Identification using ConvNets?,1.0,Single_Hop_BM25
What is the goal of Visual Question Answering (VQA) in terms of data modalities?,0.1,Direct_LLM
What is the goal of Visual Question Answering (VQA) in terms of data modalities?,0.2,Direct_LLM
What is the goal of Visual Question Answering (VQA) in terms of data modalities?,0.3,Single_Hop_BM25
What is the goal of Visual Question Answering (VQA) in terms of data modalities?,0.4,Single_Hop_BM25
What is the goal of Visual Question Answering (VQA) in terms of data modalities?,0.5,Single_Hop_BM25
What is the goal of Visual Question Answering (VQA) in terms of data modalities?,0.6,Single_Hop_BM25
What is the goal of Visual Question Answering (VQA) in terms of data modalities?,0.7,Single_Hop_BM25
What is the goal of Visual Question Answering (VQA) in terms of data modalities?,0.8,Single_Hop_BM25
What is the goal of Visual Question Answering (VQA) in terms of data modalities?,0.9,Single_Hop_BM25
What is the goal of Visual Question Answering (VQA) in terms of data modalities?,1.0,Single_Hop_BM25
What is the title of Bernardi's special issue on representation of sentence meaning?,0.1,Direct_LLM
What is the title of Bernardi's special issue on representation of sentence meaning?,0.2,Direct_LLM
What is the title of Bernardi's special issue on representation of sentence meaning?,0.3,Single_Hop_BM25
What is the title of Bernardi's special issue on representation of sentence meaning?,0.4,Single_Hop_BM25
What is the title of Bernardi's special issue on representation of sentence meaning?,0.5,Single_Hop_BM25
What is the title of Bernardi's special issue on representation of sentence meaning?,0.6,Single_Hop_BM25
What is the title of Bernardi's special issue on representation of sentence meaning?,0.7,Single_Hop_BM25
What is the title of Bernardi's special issue on representation of sentence meaning?,0.8,Single_Hop_BM25
